transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
a-a,"oE, nE",ai,aa,2,,adjective,"a-ù-ù, a-a-i-[im?]-bu",Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font></qt>",,
h.hi-bat-tin-na,achE,,hibattinna,,,adjective,h.hi-ba-at,,,"<qt><font color=""#c30000"">h</font>.<font color=""#c30000"">hi</font>-<font color=""#de0000"">bat</font>-<font color=""#9b0000"">tin</font>-na</qt>",,-na
v.ha-ak-qa-man-nu-iš-ši-ya,achE,Achæmenid,haakqamannuis~s~iya,,haxāmanišya,adjective,"hhh.ha-qa-man-na-šá, v.ha-qa-man-nu-iš-ši-ya, v.ha-qa-man-nu-ši-ya",,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">man</font>-nu-iš-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font></qt>",,
am-mín-nu,achE,same?,amminnu,1,,adjective,,Sg.,1st,"<qt>am-<font color=""#e10000"">mín</font>-nu</qt>",,
te-man?-na?-na,achE,,demannana,,,adjective,hh.te-man,,,"<qt>te-<font color=""#690000"">man</font>-na-na</qt>",,
te-na,achE,,dena,4,,adjective,"hw.ad-da.te-na, hh.i-gi.te-na, v.im-ba-de-en-na, hw.man.te-na-ir",,,<qt>te-na</qt>,,
lag-gi-ma-na,achE,la-na,laggimana,,,adjective,,,,"<qt><font color=""#00ff00"">lag</font>-<font color=""#9b0000"">gi</font>-<font color=""#b40000"">ma</font>-na</qt>",,-na
la-gi,nE,la-k,lagi,,,adjective,,,,"<qt>la-<font color=""#9b0000"">gi</font></qt>",,-k
la-gi-ik,nE,lak-k,lagiik,,,adjective,,,,"<qt>la-<font color=""#9b0000"">gi</font>-<font color=""#c30000"">ik</font></qt>",,-k
[an]-nu-kur-ir-na,nE,anāku-SG-na,annukurirna,1,,adjective,an-nu-uk-ir-na,,,"<qt><font color=""#c30000"">an</font>-nu-<font color=""#cd0000"">kur</font>-ir-na</qt>",,
ha-na-ak-[ki]-ir-na,nE,anāku-SG-n,hanaakkiirna,,annaku,adjective,an-nu-uk-ir-na,,,"<qt><font color=""#690000"">ha</font>-na-<font color=""#690000"">ak</font>-<font color=""#690000"">ki</font>-ir-na</qt>",,
an-nu-uk-ir-na,nE,anāku-SG-na,annuukirna,12,,adjective,"ha-na-ak-[ki]-ir-na, [an]-nu-kur-ir-na",,,"<qt><font color=""#c30000"">an</font>-nu-<font color=""#9b0000"">uk</font>-ir-na</qt>",,
an-[nu-uk-ir]-ra-ni,nE,anāku-SG-na,annuukirrani,1,,adjective,,,,"<qt><font color=""#c30000"">an</font>-nu-<font color=""#9b0000"">uk</font>-ir-<font color=""#690000"">ra</font>-<font color=""#c30000"">ni</font></qt>",,
ha-te-um-me,nE,east-INANIM,hateumme,1,,adjective,ha-tin,,,"<qt><font color=""#690000"">ha</font>-te-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font></qt>",,-me
ha-te-ya,mE,,hateya,,,adjective,,,,"<qt><font color=""#690000"">ha</font>-te-<font color=""#9b0000"">ya</font></qt>",,
