transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
d.a-a-pa-ak-si-na,nA,,aapaaksina,1,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#690000"">pa</font>-<font color=""#690000"">ak</font>-<font color=""#690000"">si</font>-na</qt>",divine,
ri-ri,oE,,riri,,,DN,"ki-nu-ri-ri, hh.ki-te.ri-ri, hh.ki-tin.ri-ri, pù-zur8-ri-ri, si-mu-ut.ri-ri",,,"<qt><font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ri</font></qt>",divine,
ab-ru-ú,oE,,abruu,1,,DN,,,,"<qt><font color=""#9b0000"">ab</font>-<font color=""#b40000"">ru</font>-<font color=""#9b0000"">ú</font></qt>",divine,
d.a-da-e-ne,nE,,adaene,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">a</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">e</font>-<font color=""#d50000"">ne</font></qt>",divine,
a-da-ar,oE,adar,adaar,1,,DN,ku-uk.a-da-ar,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">da</font>-ar</qt>",divine,
d.ad-da-ad,achE,Adad,addaad,2,adad,DN,"d.ad-da-ti, d.ha-da-ad, d.ha-da-ud, d.IŠKUR",,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ad</font></qt>",divine,
d.ha-da-ud,achE,Adad,hadaud,,adad,DN,d.ad-da-ad,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ha</font>-<font color=""#9b0000"">da</font>-<font color=""#d50000"">ud</font></qt>",divine,
d.ha-da-ad,achE,Adad,hadaad,,adad,DN,d.ad-da-ad,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ha</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ad</font></qt>",divine,
d.ad-da-ti,achE,Adad-i?,addati,1,adad,DN,d.ad-da-ad,Sg.,1st,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ti</font></qt>",,
d.A.É.A.LUGÀL,,,aealugal,1,,DN,d.A.IP.A.LUGÀL,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">A</font>.<font color=""#690000"">É</font>.<font color=""#690000"">A</font>.<font color=""#690000"">LUGÀL</font></qt>",divine,
a-gu-un,oE,agun,aguun,2,,DN,"v.ab-du.d.a-gu-u-ni, i-da-du.a-gu-un, ku-tu-ur.a-gu-un, d.si-mu-ut.a-gu-un, tan.d.te-im-ti.a-gu-un, te-im-ti.a-gu-un, v.a-gu-na-an-nu",,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">gu</font>-<font color=""#b40000"">un</font></qt>",divine,
d.A.IP.A.LUGÀL,mE,A.IP.A.king,aipalugal,1,,DN,d.A.É.A.LUGÀL,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">A</font>.<font color=""#00ff00"">IP</font>.<font color=""#690000"">A</font>.<font color=""#690000"">LUGÀL</font></qt>",divine,
d.ak-še?-na,achE,,aks~ena,1,axšaina,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ak</font>-<font color=""#690000"">še</font>-na</qt>",divine,
ak-še-na-um,achE,axšainam,aks~enaum,1,axšainam,DN,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#690000"">še</font>-na-<font color=""#690000"">um</font></qt>",divine,
al-la-at,oE,allattu,allaat,,,DN,,,,"<qt>al-la-<font color=""#690000"">at</font></qt>",divine,
d.AL.UR.KA,oE,,alurka,1,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#00ff00"">AL</font>.<font color=""#b40000"">UR</font>.<font color=""#00ff00"">KA</font></qt>",divine,
d.a-ma-nu-um,nE,,amanuum,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">a</font>-<font color=""#b40000"">ma</font>-nu-<font color=""#690000"">um</font></qt>",divine,
d.UTU,nE,sun,utu,1,,DN,,Pl.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.<font color=""#d50000"">UTU</font></qt>",divine,
d.am-ma-ma,nE,,ammama,,,DN,,,,"<qt><font color=""#c30000"">d</font>.am-<font color=""#b40000"">ma</font>-<font color=""#b40000"">ma</font></qt>",divine,
d.am-man-ka-si-bar,nA,Ammankasibar,ammankasibar,1,,DN,,,,"<qt><font color=""#c30000"">d</font>.am-<font color=""#690000"">man</font>-ka-<font color=""#690000"">si</font>-<font color=""#de0000"">bar</font></qt>",divine,
d.ma-zi-at,oE,Manzat,maziat,,,DN,"d.ma-an-za-at, d.ma-an-zi-at",,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">ma</font>-<font color=""#690000"">zi</font>-<font color=""#690000"">at</font></qt>",divine,
d.la-ga-ma-al,mE,Lagamal,lagamaal,,lagamal,DN,"d.la-ga-ma-ar, d.la-qa-ma-ar, d.la-ga-mar",,,"<qt><font color=""#c30000"">d</font>.la-<font color=""#9b0000"">ga</font>-<font color=""#b40000"">ma</font>-al</qt>",divine,
d.la-ga-ma-ar,mE,Lagamal,lagamaar,,lagamal,DN,d.la-ga-ma-al,,,"<qt><font color=""#c30000"">d</font>.la-<font color=""#9b0000"">ga</font>-<font color=""#b40000"">ma</font>-ar</qt>",divine,
d.la-ga-mar,mE,Lagamal,lagamar,,lagamal,DN,d.la-ga-ma-al,,,"<qt><font color=""#c30000"">d</font>.la-<font color=""#9b0000"">ga</font>-<font color=""#9b0000"">mar</font></qt>",divine,
d.la-ga-ma-ru,nA,Lagamal,lagamaru,,lagamal,DN,d.la-ga-ma-al,,,"<qt><font color=""#c30000"">d</font>.la-<font color=""#9b0000"">ga</font>-<font color=""#b40000"">ma</font>-<font color=""#b40000"">ru</font></qt>",divine,
hhh.an-na-hi-ud-da,achE,anāhitā,annahiudda,,anāhitā,DN,,,,"<qt>hhh.<font color=""#c30000"">an</font>-na-<font color=""#c30000"">hi</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>",divine,
d.an?-tur-za,achE,ātrčā,anturza,,ātrčā,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#c30000"">an</font>-<font color=""#b40000"">tur</font>-<font color=""#690000"">za</font></qt>",divine,
d.a-pi-in,oE,apin,apiin,,,DN,"tan.d.a-pi-in, a-pi-ku-ni-ra",,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">a</font>-<font color=""#de0000"">pi</font>-in</qt>",divine,
šu-zi-ga,oAkk,,s~uziga,1,,DN,,,,"<qt><font color=""#9b0000"">šu</font>-<font color=""#690000"">zi</font>-<font color=""#9b0000"">ga</font></qt>",divine,
ba-ab-ba-at,,,baabbaat,1,,DN,"gu-ri.ba-ab-ba-at, ku-ri.pa-ap-pa-at",,,"<qt><font color=""#9b0000"">ba</font>-<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">at</font></qt>",divine,
d.ar-x-li,nE,,arli,,,DN,,,,"<qt><font color=""#c30000"">d</font>.ar-<font color=""#9b0000"">x</font>-li</qt>",divine,
d.as-sig7-a,nA,,assig7a,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">as</font>-<font color=""#00ff00"">sig<sub><small>7</small></sub></font>-<font color=""#690000"">a</font></qt>",divine,
d.áš-ha-ra,oE,Išḫara,as~hara,,išḫara,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">áš</font>-<font color=""#690000"">ha</font>-<font color=""#690000"">ra</font></qt>",divine,
d.si-a-šum,oE,Siyašum,sias~um,,,DN,"d.si-ya-šu-um, d.šá-šum, d.ši-ya-šu-um, ba-ar.si-a-šu-[um], f.si-ya-šu-um.am-ma, f.šu-ya-šu-um.am-ma",,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">si</font>-<font color=""#690000"">a</font>-<font color=""#c30000"">šum</font></qt>",divine,
d.pa-ar-ti.ki-ra,nA,,baartikira,2,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">pa</font>-ar-<font color=""#690000"">ti</font>.<font color=""#690000"">ki</font>-<font color=""#690000"">ra</font></qt>",divine,
ba-aš-nak,nE,,baas~nak,,,DN,,,,"<qt><font color=""#9b0000"">ba</font>-<font color=""#c30000"">aš</font>-<font color=""#00ff00"">nak</font></qt>",divine,
d.ú-li,mE,Uli,uli,1,,DN,"f.ba-ar.d.ú-li, tan.ú-li, tan-nu-li, si-mu-ut.ù-li.si-ni.ki?",Sg.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">ú</font>-li</qt>",divine,
d.si-mu-ut-ta,mE,Simutta,simuutta,,,DN,d.si-mu-ut,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">si</font>-<font color=""#690000"">mu</font>-<font color=""#d50000"">ut</font>-ta</qt>",divine,
d.ba-ha.hu-ti-ib-be,mE,good-make-PL,bahahutiibbe,1,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">ba</font>-<font color=""#690000"">ha</font>.<font color=""#d50000"">hu</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">ib</font>-<font color=""#de0000"">be</font></qt>",divine,
ba-ni,oE,bani,bani,,,DN,"ku-ku.ba-ni, te-im-ti.ba-ni, d.la-àm.ba-ni",,,"<qt><font color=""#9b0000"">ba</font>-<font color=""#c30000"">ni</font></qt>",divine,
d.pa-ni-in-tim-ri,nA,,baniintimri,,,DN,d.pa-ni-in-gir-ri,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">pa</font>-<font color=""#c30000"">ni</font>-in-<font color=""#00ff00"">tim</font>-<font color=""#9b0000"">ri</font></qt>",divine,
d.ba-pu?,mE,Bapu,bapu,1,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">pu</font></qt>",divine,
