transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
h.a-a.hi-te-ik,mE,ai-hit-k,aahiteik,1,,GN,"h.a-te-ik, h.a-tu4-ik",,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>.<font color=""#c30000"">hi</font>-te-<font color=""#c30000"">ik</font></qt>",location,
h.a-a-har,nE,,aahar,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#cd0000"">har</font></qt>",location,
a-aš.gu-pi-[en].KI,oE,,aas~gupienki,,,GN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">aš</font>.<font color=""#690000"">gu</font>-<font color=""#de0000"">pi</font>-<font color=""#690000"">en</font>.<font color=""#690000"">KI</font></qt>",location,
h.a-a-pír,nE,Aipir,aapir,17,aipir,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#e10000"">pír</font></qt>",location,
[h.a-a]-pír-en-ni,nE,aipir-na,aapirenni,,,GN,h.a-a-pír,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#e10000"">pír</font>-<font color=""#690000"">en</font>-<font color=""#c30000"">ni</font></qt>",,
h.a-a-pír-ir-ra,nE,Aipir-3SG.AGR,aapirirra,17,aipir,GN,,,,,,
a-hi-in-har-iš-da,achE,,ahiinharis~da,,,GN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-in-<font color=""#cd0000"">har</font>-iš-<font color=""#9b0000"">da</font></qt>",location,
h.ak-na-zí-iš,achE,,aknaziis~,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ak</font>-na-<font color=""#690000"">zí</font>-iš</qt>",location,
h.ak-qa-a-ya-na-um,achE,Haxāyānam,akqaayanaum,1,haxāyānam,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#690000"">a</font>-<font color=""#690000"">ya</font>-na-<font color=""#690000"">um</font></qt>",,
a?-ak-ti.KI,oE,,aaktiki,1,,GN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ak</font>-<font color=""#690000"">ti</font>.<font color=""#690000"">KI</font></qt>",location,
a-al-at.KI,oE,,aalatki,,,GN,,,,"<qt><font color=""#690000"">a</font>-al-<font color=""#690000"">at</font>.<font color=""#690000"">KI</font></qt>",location,
h.a-a-na-ak-qa,nE,ainaka,aanaakqa,3,ainaka,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-na-<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font></qt>",,
URU.ri-ri-e,oE,,ririe,,,GN,,,,"<qt><font color=""#690000"">URU</font>.<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">e</font></qt>",city,
ri-ri-e.si-ga-aš?,oE,,ririesigaas~,,,GN,,,,"<qt><font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">e</font>.<font color=""#690000"">si</font>-<font color=""#9b0000"">ga</font>-<font color=""#c30000"">aš</font></qt>",location,
ri-ru-um,oE,rierum,riruum,,,GN,ri-e-ru-um-ma,,,"<qt><font color=""#9b0000"">ri</font>-<font color=""#b40000"">ru</font>-<font color=""#690000"">um</font></qt>",location,
hi?-a-an-ra.KI,oE,,hiaanraki,,,GN,,,,"<qt><font color=""#c30000"">hi</font>-<font color=""#690000"">a</font>-<font color=""#c30000"">an</font>-<font color=""#690000"">ra</font>.<font color=""#690000"">KI</font></qt>",location,
