transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
ri-ša-am,oE,rišam,ris~aam,,,magic word,,,,"<qt><font color=""#9b0000"">ri</font>-ša-am</qt>",,
ah-li,oE,,ahli,1,,magic word,,Sg.,1st,"<qt><font color=""#d50000"">ah</font>-li</qt>",,
a-ku-na,,,akuna,1,,magic word,a-ku-ra,Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#d50000"">ku</font>-na</qt>",,
a-lu-ri,oE,,aluri,,,magic word,,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">lu</font>-<font color=""#9b0000"">ri</font></qt>",,
aš-pa-še,oE,,as~pas~e,1,,magic word,,,,"<qt><font color=""#c30000"">aš</font>-<font color=""#690000"">pa</font>-<font color=""#690000"">še</font></qt>",,
me-šu-ba-me,oE,,mes~ubame,,,magic word,,,,"<qt><font color=""#9b0000"">me</font>-<font color=""#9b0000"">šu</font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">me</font></qt>",,
šu-ku-ri,oE,šuk,s~ukuri,,,magic word,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">šu</font>-<font color=""#d50000"">ku</font>-<font color=""#9b0000"">ri</font></qt>",,
bi-il,oE,«bil»,biil,1,,magic word,,,,"<qt><font color=""#de0000"">bi</font>-<font color=""#690000"">il</font></qt>",,
bi-il.bi-il,oE,«bilbil»,biilbiil,1,,magic word,,,,"<qt><font color=""#de0000"">bi</font>-<font color=""#690000"">il</font>.<font color=""#de0000"">bi</font>-<font color=""#690000"">il</font></qt>",,
bi-ir,oE,,biir,1,,magic word,,,,"<qt><font color=""#de0000"">bi</font>-ir</qt>",,
pi-li-hi-h-pi-ir,oE,,bilihihpiir,1,,magic word,pi-li,,,"<qt><font color=""#e40000"">pi</font>-li-<font color=""#c30000"">hi</font>-<font color=""#d50000"">h</font>-<font color=""#e40000"">pi</font>-ir</qt>",,
piš-piš,oE,,bis~pis~,1,,magic word,,,,"<qt><font color=""#b40000"">piš</font>-<font color=""#b40000"">piš</font></qt>",,
ki-ri-iš-ti,oE,kirišti,giriis~ti,2,,magic word,,,,"<qt><font color=""#690000"">ki</font>-<font color=""#9b0000"">ri</font>-iš-<font color=""#690000"">ti</font></qt>",,
ki-ri-ki-ri-ip,oE,kiri-RED-PL,girikiriip,1,,magic word,ki-ri-ip,,,"<qt><font color=""#690000"">ki</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">ki</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">ip</font></qt>",,
ki-ri-ri.ša-a-ab,oE,,giriris~aaab,1,,magic word,ú-šu-h-ri.ša-a-ab,,,"<qt><font color=""#690000"">ki</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ri</font>.ša-<font color=""#690000"">a</font>-<font color=""#9b0000"">ab</font></qt>",,
ša-a-ab,oE,,s~aaab,,,magic word,ki-ri-ri.ša-a-ab,,,"<qt>ša-<font color=""#690000"">a</font>-<font color=""#9b0000"">ab</font></qt>",,
tu-ri,oE,«turi»,duri,3,,magic word,,,,"<qt>tu-<font color=""#9b0000"">ri</font></qt>",,
ka-iš?-ša-an,oE,,gais~s~aan,1,,magic word,,,,"<qt>ka-iš-ša-<font color=""#c30000"">an</font></qt>",,
zi-iz-zi-pi-ik,oE,,ziizzipiik,,,magic word,,,,"<qt><font color=""#690000"">zi</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">zi</font>-<font color=""#de0000"">pi</font>-<font color=""#c30000"">ik</font></qt>",,
zi-iz-zi-ri-ik,oE,,ziizziriik,,,magic word,,,,"<qt><font color=""#690000"">zi</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">zi</font>-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ik</font></qt>",,
ka-na,oE,,gana,2,,magic word,,,,<qt>ka-na</qt>,,
2.ki-li,oE,,gili,1,,magic word,,,,"<qt><font color=""#690000"">ki</font>-li</qt>",,
ki-la-li-bi,oE,,gilalibi,1,,magic word,,,,"<qt><font color=""#690000"">ki</font>-la-li-<font color=""#de0000"">bi</font></qt>",,
ib-te-te,oE,,ibtete,1,,magic word,,,,"<qt><font color=""#690000"">ib</font>-te-te</qt>",,
i-la-la,oE,,ilala,,,magic word,,,,"<qt><font color=""#9b0000"">i</font>-la-la</qt>",,
in-na-an-du-hu,oE,inandu-1PL,innaanduhu,,,magic word,,,,"<qt>in-na-<font color=""#c30000"">an</font>-<font color=""#9b0000"">du</font>-<font color=""#d50000"">hu</font></qt>",,
in-zi,oE,,inzi,1,,magic word,,,,"<qt>in-<font color=""#690000"">zi</font></qt>",,
ip-pa-áš,oE,,ippaas~,,,magic word,,,,"<qt><font color=""#690000"">ip</font>-<font color=""#690000"">pa</font>-<font color=""#9b0000"">áš</font></qt>",,
ip-ta-aš,oE,,iptaas~,1,,magic word,,,,"<qt><font color=""#690000"">ip</font>-ta-<font color=""#c30000"">aš</font></qt>",,
i-zi-iš,oE,,iziis~,,,magic word,,,,"<qt><font color=""#9b0000"">i</font>-<font color=""#690000"">zi</font>-iš</qt>",,
la-h,oE,,lah,1,,magic word,,Pl.,3rd Anim.,"<qt>la-<font color=""#d50000"">h</font></qt>",,
la-li-bi,oE,,lalibi,,,magic word,,,,"<qt>la-li-<font color=""#de0000"">bi</font></qt>",,
li-bi,oE,,libi,,,magic word,,,,"<qt>li-<font color=""#de0000"">bi</font></qt>",,
lu-hu-ut-ri,oE,,luhuutri,1,,magic word,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#d50000"">hu</font>-<font color=""#d50000"">ut</font>-<font color=""#9b0000"">ri</font></qt>",,
ma?-ha-li-li,oE,,mahalili,,,magic word,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#690000"">ha</font>-li-li</qt>",,
mi-il-ki,oE,,miilki,,,magic word,,,,"<qt>mi-<font color=""#690000"">il</font>-<font color=""#690000"">ki</font></qt>",,
mu-uš-ku-ur-bi,oE,,muus~kuurbi,,,magic word,,,,"<qt><font color=""#690000"">mu</font>-uš-<font color=""#d50000"">ku</font>-<font color=""#b40000"">ur</font>-<font color=""#de0000"">bi</font></qt>",,
na-ap-ri-ša-ša,oE,Napiriša-DIMIN,naapris~as~a,1,,magic word,,,,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#9b0000"">ri</font>-ša-ša</qt>",,
na-ap-ri-ša-am,oE,Napiriša,naapris~aam,,,magic word,,,,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#9b0000"">ri</font>-ša-am</qt>",,
na-ka,oE,,naka,,,magic word,na-qa,,,<qt>na-ka</qt>,,
ni-ni,oE,,nini,,,magic word,,,,"<qt><font color=""#c30000"">ni</font>-<font color=""#c30000"">ni</font></qt>",,
ni-t[i]-k[i]-x,oE,,nitiki,,,magic word,,,,"<qt><font color=""#c30000"">ni</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">ki</font>-<font color=""#9b0000"">x</font></qt>",,
ri-ta-ša,oE,«ritaša»,ritas~a,1,,magic word,,,,"<qt><font color=""#9b0000"">ri</font>-ta-ša</qt>",,
ru-pu,oE,,rupu,,,magic word,,,,"<qt><font color=""#b40000"">ru</font>-<font color=""#9b0000"">pu</font></qt>",,
si-ik-ka,oE,,siikka,,,magic word,si-ik-na,,,"<qt><font color=""#690000"">si</font>-<font color=""#c30000"">ik</font>-ka</qt>",,
su-up-pa-an-ni,oE,,suuppaanni,,,magic word,,,,"<qt><font color=""#690000"">su</font>-<font color=""#690000"">up</font>-<font color=""#690000"">pa</font>-<font color=""#c30000"">an</font>-<font color=""#c30000"">ni</font></qt>",,
su-up-pu,oE,suppû,suuppu,,suppû,magic word,,,,"<qt><font color=""#690000"">su</font>-<font color=""#690000"">up</font>-<font color=""#9b0000"">pu</font></qt>",,
ša-ra-a-ra,mE,under-3SG.AGR,s~araara,,,magic word,"šá-ra-ra, šà-ra-ir-ra",Sg.,3rd Anim.,"<qt>ša-<font color=""#690000"">ra</font>-<font color=""#690000"">a</font>-<font color=""#690000"">ra</font></qt>",,
ša-ri,oE,ša-3SG.AGR,s~ari,1,,magic word,šà-ri,,,"<qt>ša-<font color=""#9b0000"">ri</font></qt>",,
še-la-an,oE,,s~elaan,,,magic word,,,,"<qt><font color=""#690000"">še</font>-la-<font color=""#c30000"">an</font></qt>",,
ši-te-ir,oE,,s~iteir,,,magic word,,,,"<qt><font color=""#c30000"">ši</font>-te-ir</qt>",,
šu,oE,,s~u,,,magic word,šú,,,"<qt><font color=""#9b0000"">šu</font></qt>",,
šu-ha.zi-la?,oE,,s~uhazila,,,magic word,šu-ha,,,"<qt><font color=""#9b0000"">šu</font>-<font color=""#690000"">ha</font>.<font color=""#690000"">zi</font>-la</qt>",,
šu-ri,oE,benefit,s~uri,,,magic word,"šu-ru, ši-ri",,,"<qt><font color=""#9b0000"">šu</font>-<font color=""#9b0000"">ri</font></qt>",,
ú-ru,oE,,uru,,,magic word,,,,"<qt><font color=""#9b0000"">ú</font>-<font color=""#b40000"">ru</font></qt>",,
ú-šu-h-ri,oE,,us~uhri,,,magic word,,,,"<qt><font color=""#9b0000"">ú</font>-<font color=""#9b0000"">šu</font>-<font color=""#d50000"">h</font>-<font color=""#9b0000"">ri</font></qt>",,
wa-a-zi-e,oE,,waazie,,,magic word,,,,"<qt><font color=""#e40000"">wa</font>-<font color=""#690000"">a</font>-<font color=""#690000"">zi</font>-<font color=""#690000"">e</font></qt>",,
we-il-ga-ni,oE,welfare-2SG.POSS,weilgani,1,,magic word,,Sg.,2nd,"<qt><font color=""#e40000"">we</font>-<font color=""#690000"">il</font>-<font color=""#9b0000"">ga</font>-<font color=""#c30000"">ni</font></qt>",,
2.za-ak,oE,,zaak,,,magic word,,,,"<qt><font color=""#690000"">za</font>-<font color=""#690000"">ak</font></qt>",,
za-ba-ar-ri-ik,oE,,zabaarriik,,,magic word,,,,"<qt><font color=""#690000"">za</font>-<font color=""#9b0000"">ba</font>-ar-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ik</font></qt>",,
za-pi-iš,oE,zap-3SG,zapiis~,,,magic word,,,,"<qt><font color=""#690000"">za</font>-<font color=""#e40000"">pi</font>-iš</qt>",,
zi-ni,oE,,zini,,,magic word,,,,"<qt><font color=""#690000"">zi</font>-<font color=""#c30000"">ni</font></qt>",,
zi-pi-ik,oE,,zipiik,,,magic word,,,,"<qt><font color=""#690000"">zi</font>-<font color=""#de0000"">pi</font>-<font color=""#c30000"">ik</font></qt>",,
zur-ru-gu,oE,,zurrugu,,,magic word,,,,"<qt><font color=""#00ff00"">zur</font>-<font color=""#b40000"">ru</font>-<font color=""#690000"">gu</font></qt>",,
