transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
h.mu-du-un-ra,achE,mudun-SG,muduunra,1,,noun,"hh.mu-du-in-ra, mi-du-un-ra, mu-du-ra",Sg.,3rd Anim.,,,
ha-tam5-tup,achE,Elamite-PL,hatamtup,1,,noun,ha-tam5-ti-ip,Pl.,3rd Anim.,,,
a-a-in,nE,house,aain,1,,noun,a-hi-in,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-in</qt>",,
A.lg,,water,a,13,,noun,,Pl.,1st,"<qt><font color=""#690000"">A</font>.<font color=""#690000"">lg</font></qt>",,
h.A.lg,,water,a,13,,noun,,Pl.,1st,,,
a-a-in.ú.me-na,nE,house-1SG-INANIM.AGR-GEN,aainumena,1,,noun,a-hi-in,,,,,
ab-ba-qa-na,achE,apakāna,abbaqana,1,apakāna,noun,ab-ba-qa-na-iš,,,"<qt><font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#00ff00"">qa</font>-na</qt>",,
ab-ba-qa-na-iš,achE,apakāna-š,abbaqanais~,2,apakāna,noun,"ha-pi-qa-nu-iš, ab-ba-qa-na-še, ap-pi-qa-na-še",,,"<qt><font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#00ff00"">qa</font>-na-iš</qt>",,
ab-ba-qa-na-še,achE,apakāna-šai,abbaqanas~e,14,apakāna-šai,noun,"ab-ba-qa-na-iš, ap-pi-qa-na-še, ha-pi-qa-nu-iš",,,"<qt><font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#00ff00"">qa</font>-na-<font color=""#690000"">še</font></qt>",,
h.ab-ba-nu-ya-ak-qa-kam?-man?,achE,apanyāka-mai,abbanuyaakqakamman,1,apanyāka-mai,noun,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-nu-<font color=""#690000"">ya</font>-<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#690000"">kam</font>-<font color=""#690000"">man</font></qt>",,
ab-a-ra,,fat-SG,abara,1,,noun,ab-ba-ra ?,Sg.,1st,"<qt><font color=""#9b0000"">ab</font>-<font color=""#690000"">a</font>-<font color=""#690000"">ra</font></qt>",,
2.ab-ba,nE,who-PL,abba,1,,noun,ap-pa,,,"<qt><font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font></qt>",,
f.ab-ba-ak-qa-na-iš,achE,apakānā-š,abbaakqanais~,2,apakānā,noun,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-na-iš</qt>",,
a-ap-pi,mE,lineage,aappi,,,noun,"ap-hi-e, ah-be, a-h-pi, e-ip-pi, hi-iš.a-ha-be",,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font></qt>",,
a-ap-ti,mE,aapti,aapti,,,noun,ap-ti,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ap</font>-<font color=""#690000"">ti</font></qt>",,
a-ap-me,mE,api-INANIM,aapme,2,,noun,a[p-me],,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ap</font>-<font color=""#9b0000"">me</font></qt>",,
a-a-ni-ip,"oE, mE",house-PL,aaniip,5,,noun,a-a-ni,Pl.,3rd Anim.,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">ip</font></qt>",,
a-a-ni-ri,mE,house-SG-3SG.POSS,aaniri,1,,noun,,Sg.,3rd Anim.,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#c30000"">ni</font>-<font color=""#9b0000"">ri</font></qt>",,
h.a-a-pír-ib-be,nE,Aipir-PL,aapiribbe,1,,noun,h.a-a-pír,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#e10000"">pír</font>-<font color=""#690000"">ib</font>-<font color=""#de0000"">be</font></qt>",,
h.a-a-pír-in-na,achE,Aipir-na,aapirinna,1,aipir,noun,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#e10000"">pír</font>-in-na</qt>",,
h.a-a-pír-na,,Aipir-GEN,aapirna,1,aipir,noun,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#e10000"">pír</font>-na</qt>",,
h.a-a-pír-ra,achE,Aipir-SG,aapirra,1,,noun,h.a-a-pír,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#e10000"">pír</font>-<font color=""#690000"">ra</font></qt>",,
a-a-ni-ip-ù-be,"oE, mE",house-PL-1SG-3PL.AGR,aaniipube,5,,noun,a-a-ni,Pl.,3rd Anim.,,,
a-hi-in,nE,house,ahiin,6,,noun,"a-a-in, a-a-ni, a-i-in, a-h-in, ha-a-in, v.ha-a-in.ku-ši-ra",Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-in</qt>",,
a-h-in,nE,house,ahin,3,,noun,"a-hi-in, la-ni-a-in?",,,"<qt><font color=""#690000"">a</font>-<font color=""#d50000"">h</font>-in</qt>",,
