transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
a-ak,"mE, nE, achE",and,aak,24,,other,"in-ti-ik-ka-ak, su-lu-ka-ak, su-ku-ša-ak",,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ak</font></qt>",,
a-ar-líl-si,oE,,aarlilsi,1,,other,,Sg.,1st,"<qt><font color=""#690000"">a</font>-ar-<font color=""#00ff00"">líl</font>-<font color=""#690000"">si</font></qt>",,
a-hi-ir,nE,aha-ir,ahiir,2,,other,"a-ha+ir, a-hír",Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-ir</qt>",,
a-hír,nE,,ahir,1,,other,a-ha+ir,Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#00ff00"">hír</font></qt>",,
ak-qa-ap,nE,which-PL,akqaap,1,,other,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#9b0000"">ap</font></qt>",,
ak-qa-ap-pu-up,nE,which-PL-3PL.AGR,akqaappuup,1,,other,,Sg.,1st,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#9b0000"">ap</font>-<font color=""#9b0000"">pu</font>-<font color=""#690000"">up</font></qt>",,
ak-qa-be,"nE, achE",which-PL,akqabe,19,,other,,Sg.,1st,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#de0000"">be</font></qt>",,
ak-qa-be-na,achE,which-PL-GEN,akqabena,2,,other,,Sg.,1st,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#de0000"">be</font>-na</qt>",,
ak-qa-mar,,,akqamar,1,,other,ik-qa-mar,,,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#9b0000"">mar</font></qt>",,
v.ak-qa-be,achE,which-PL,akqabe,1,,other,,Sg.,1st,,,
a-ak.ku-ud-da,achE,and-also,aakkuudda,3,,other,,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ak</font>.<font color=""#d50000"">ku</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>",,
a-am,mE,now,aam,1,,other,am,,,"<qt><font color=""#690000"">a</font>-am</qt>",,
a-ak-ya-an,,and-hall,aakyaan,1,,other,,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ak</font>-ya-<font color=""#c30000"">an</font></qt>",,
v.ha-ak-qa-man-nu-iš-ši-ya-ra,,Achæmenid-SG,haakqamannuis~s~iyara,1,haxāmanišya,other,GAM.ha-ak-qa-man-nu-ši-ya-ra,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">man</font>-nu-iš-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font>-<font color=""#690000"">ra</font></qt>",,
ab-ba-ra,achE,fat-SG?,abbara,1,,other,,Sg.,1st,"<qt><font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ra</font></qt>",,
a-bì,,,abi,1,,other,a-pi,Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#de0000"">bì</font></qt>",,
ab-si-in,oE?,,absiin,1,,other,,,,"<qt><font color=""#9b0000"">ab</font>-<font color=""#690000"">si</font>-in</qt>",,
