transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
v.har-ri-e-na,achE,Aryaina,harriena,1,aryaina,PN,"hh.ha-ri-e-na, hw.ha-ri-na, hh.har-ri-ya-a-na",,,,,
a-a-i-[im?]-bu,oE,ai-imbu,aaiimbu,1,,PN,"a-a, im-bu-bu",,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-i-<font color=""#b40000"">im</font>-<font color=""#9b0000"">bu</font></qt>",man,
f.ab-ba-mu-iš,achE,,abbamuis~,,,PN,f.ab-ba-uk-iš,,,"<qt><font color=""#e10000"">f</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">mu</font>-iš</qt>",woman,
hh.ab-ba-la-a,achE,apalaya,abbalaa,1,apalaya,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-la-<font color=""#690000"">a</font></qt>",man,
hh.ab-ba-la-a-ya,achE,apalaya,abbalaaya,1,apalaya,PN,hh.ab-ba-la-a,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-la-<font color=""#690000"">a</font>-ya</qt>",man,
hh.ab-ba-la-ya,achE,apalaya,abbalaya,4,apalaya,PN,hh.ab-ba-la-a,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-la-ya</qt>",man,
hh.ab-ba-qa-ma,achE,Apakava,abbaqama,1,apakava,PN,hh.ib-ba-qa-ma,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#00ff00"">qa</font>-<font color=""#b40000"">ma</font></qt>",,
a-ba-ba,oE,,ababa,1,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">ba</font></qt>",man,
a-ba-e,oE,,abae,,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">e</font></qt>",man,
a-ba-ri.du-ru-uk,oE,,abariduruuk,,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">ri</font>.<font color=""#9b0000"">du</font>-<font color=""#b40000"">ru</font>-<font color=""#9b0000"">uk</font></qt>",man,
ab-ba,oE,,abba,1,,PN,,,,"<qt><font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font></qt>",,
f.ab-ba-ak-iš,achE,apaukiš,abbaakis~,,apaukiš,PN,f.ab-ba-uk-iš,,,"<qt><font color=""#e10000"">f</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ak</font>-iš</qt>",woman,
hh.ab-ba-ak-iš,achE,apaukiš,abbaakis~,,,PN,f.ab-ba-ak-iš,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ak</font>-iš</qt>",man,
hh.a?-ba-a-u-qa,,,abaauqa,0,,PN,hh.áš-ba-a-u-qa,Sg.,1st,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">a</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">a</font>-<font color=""#9b0000"">u</font>-<font color=""#00ff00"">qa</font></qt>",,
hh.ab-ba-ak-qa,achE,Apaka,abbaakqa,1,apaka,PN,hh.ak-ba-qa ?,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font></qt>",,
a-ap-pu-me,mE,,aappume,1,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ap</font>-<font color=""#9b0000"">pu</font>-<font color=""#9b0000"">me</font></qt>",man,
a-ar-ra.hu-si-ik,oE,aarra-huši-k,aarrahusiik,1,,PN,hu-ši-ik,,,"<qt><font color=""#690000"">a</font>-ar-<font color=""#690000"">ra</font>.<font color=""#d50000"">hu</font>-<font color=""#690000"">si</font>-<font color=""#c30000"">ik</font></qt>",man,
a-a-ra-ti,oE,,aarati,1,,PN,ai-rati,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">ti</font></qt>",man,
hh.a-a-pír-ra,nE,Aipir-SG,aapirra,1,,PN,h.a-a-pír,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#e10000"">pír</font>-<font color=""#690000"">ra</font></qt>",man,
a-hi-e?-ni,oE,,ahieni,1,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-<font color=""#690000"">e</font>-<font color=""#c30000"">ni</font></qt>",man,
a-hi-i-ù-ù,,ahi-DIMIN,ahiiuu,1,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-<font color=""#9b0000"">i</font>-ù-ù</qt>",man,
a-hi-ma-a,oE,,ahimaa,,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">a</font></qt>",man,
a-hi?-pu-a,oE,,ahipua,,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-<font color=""#9b0000"">pu</font>-<font color=""#690000"">a</font></qt>",man,
a-hi-ti,oE,,ahiti,,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-<font color=""#690000"">ti</font></qt>",man,
a-hi-ù-ti,oE,,ahiuti,3,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-ù-<font color=""#690000"">ti</font></qt>",man,
a-hi-in-da-[…]-nu-un-ti,oE,house-da…nunti,ahiindanuunti,,,PN,a-hi-in,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font>-in-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">…</font>-nu-<font color=""#b40000"">un</font>-<font color=""#690000"">ti</font></qt>",man,
hh.ak-mu-iš,achE,,akmuis~,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ak</font>-<font color=""#690000"">mu</font>-iš</qt>",man,
hh.ak-mu-iš-šá,achE,,akmuis~s~a,2,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ak</font>-<font color=""#690000"">mu</font>-iš-<font color=""#c30000"">šá</font></qt>",man,
ak-qa,"mE, nE, achE",which,akqa,35,,PN,ak-ka,,,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font></qt>",,
hh.ak-qa,achE,Haxā,akqa,1,haxā,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font></qt>",,
v.ak-qa-a-ya,achE,Haxāya,akqaaya,1,haxāya,PN,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#690000"">a</font>-<font color=""#690000"">ya</font></qt>",,
hh.ak-qa-a-ya-še,achE,,akqaayas~e,1,,PN,hh.ak-qa-ya-še,Sg.,1st,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#690000"">a</font>-<font color=""#690000"">ya</font>-<font color=""#690000"">še</font></qt>",,
hw.ak-qa-be-na,nE,,akqabena,2,,PN,,Sg.,1st,"<qt><font color=""#de0000"">hw</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#de0000"">be</font>-na</qt>",,
ak-qa-da-e-ra,nE,,akqadaera,1,,PN,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">e</font>-<font color=""#690000"">ra</font></qt>",,
hh.ak-qa-da-ti-za,achE,Haxādātiča,akqadatiza,1,haxādātiča,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">za</font></qt>",,
hh.ak-qa-e-iš-še,achE,,akqaeis~s~e,1,,PN,hh.ak-qa-ya-še,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#690000"">e</font>-iš-<font color=""#690000"">še</font></qt>",,
[hw.a]k-qa-ma-da,,Haxāmāda,akqamada,1,haxāmāda,PN,,,,"<qt><font color=""#de0000"">hw</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">da</font></qt>",,
v.ak-qa-me-en,mE,Akkamen,akqameen,6,,PN,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#9b0000"">me</font>-<font color=""#690000"">en</font></qt>",,
a-al-la,oE,,aalla,1,,PN,,,,"<qt><font color=""#690000"">a</font>-al-la</qt>",man,
a-al-pi,oE,,aalpi,1,,PN,[k]u?-un.a-al-pi,,,"<qt><font color=""#690000"">a</font>-al-<font color=""#e40000"">pi</font></qt>",man,
a-a-na-ir,nE,ainar,aanair,1,ainar,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-na-ir</qt>",man,
v.a-a-na-ak-qa,achE,ainaka,aanaakqa,1,ainaka,PN,"hh.a-na-ak-qa, hh.a-na-ik-qa, h.a-a-na-ak-qa",,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-na-<font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font></qt>",,
v.ri-si-ya,,,risiya,,,PN,URU.É.v.ri-si-ya,,,"<qt><font color=""#690000"">v</font>.<font color=""#9b0000"">ri</font>-<font color=""#690000"">si</font>-<font color=""#9b0000"">ya</font></qt>",man,
f.ri-ša-ap.d.la,mE,Rišap-La,ris~aapla,1,,PN,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#9b0000"">ri</font>-ša-<font color=""#9b0000"">ap</font>.<font color=""#c30000"">d</font>.la</qt>",woman,
a-at?-ti-i-ù,oE,,aattiiu,,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">at</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">i</font>-ù</qt>",man,
a-at?-tu-ú,oB,,aattuu,1,,PN,,Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">at</font>-tu-<font color=""#9b0000"">ú</font></qt>",,
a-at-tu-ù-a,oE,,aattuua,,,PN,a-an-tu-ù-a,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">at</font>-tu-ù-<font color=""#690000"">a</font></qt>",man,
a-ba-al,oE,,abaal,1,,PN,,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ba</font>-al</qt>",man,
a-at-ta-šu,oE,aitašu,aattas~u,,,PN,a-ta-šu,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">at</font>-ta-<font color=""#9b0000"">šu</font></qt>",man,
a-a-ta-pa-da,oE,,aatapada,,,PN,"ya-a-ta-pa-da, a-na-a-a-ti-a-pa-da",,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-ta-<font color=""#690000"">pa</font>-<font color=""#9b0000"">da</font></qt>",man,
hh.a-a-uk-qa,,Āyuka,aaukqa,1,āyuka,PN,hh.a-ú-uk-qa,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#9b0000"">uk</font>-<font color=""#00ff00"">qa</font></qt>",,
hh.hi-a-iš-da,achE,yazda,hiais~da,,yazda,PN,hh.ya-áš-da,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">hi</font>-<font color=""#690000"">a</font>-iš-<font color=""#9b0000"">da</font></qt>",man,
hh.hi-ba-tur-ra,achE,ibaϑra,hibaturra,,ibaϑra,PN,hh.i-ba-tur-ra,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">hi</font>-<font color=""#9b0000"">ba</font>-<font color=""#b40000"">tur</font>-<font color=""#690000"">ra</font></qt>",man,
f.hi-da?-[…],nE,,hida,,,PN,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#c30000"">hi</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">…</font></qt>",woman,
hh.hi-da-at-ti-ya,achE,hidātiya,hidaattiya,,hidātiya,PN,"hh.hi-da-ti-ya, hh.hi-da-ut-ti-ya",,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">hi</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">at</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font></qt>",man,
hi-ba11,oE,,hiba11,,,PN,,,,"<qt><font color=""#c30000"">hi</font>-<font color=""#00ff00"">ba<sub><small>11</small></sub></font></qt>",man,
ha-a-a-ru-ru,oE,,haaaruru,1,,PN,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#b40000"">ru</font>-<font color=""#b40000"">ru</font></qt>",man,
hh.ha-ad-da-ra-da,,hātarāda,haaddarada,,hātarāda,PN,hh.ha-da-ra-da,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ra</font>-<font color=""#9b0000"">da</font></qt>",man,
f.ha-ak-na-da,,agnyātā,haaknada,,agnyātā,PN,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-na-<font color=""#9b0000"">da</font></qt>",woman,
hh.ha-ak-kur-da,,ākrta,haakkurda,,ākrta,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-<font color=""#cd0000"">kur</font>-<font color=""#9b0000"">da</font></qt>",man,
ha-a-a-ù-ù,oE,,haaauu,,,PN,ha-ya-ú-ù,,,"<qt><font color=""#690000"">ha</font>-<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-ù-ù</qt>",man,
v.ha-ak-qa-man-nu-iš,achE,Achæmenes,haakqamannuis~,,haxāmaniš,PN,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">man</font>-nu-iš</qt>",man,
GAM.ha-ak-qa-man-nu-ši-ya-ra,achE,haxāmaniya-SG,haakqamannus~iyara,,haxāmaniya,PN,v.ha-ak-qa-man-nu-ši-ya,,,"<qt><font color=""#690000"">GAM</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">man</font>-nu-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font>-<font color=""#690000"">ra</font></qt>",man,
v.ha-ak-qa-man-nu-u-ši-ya,achE,Achæmenid,haakqamannuus~iya,,haxāmaniya,PN,v.ha-ak-qa-man-nu-ši-ya,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">man</font>-nu-<font color=""#9b0000"">u</font>-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font></qt>",man,
ha-al.da-an-na-at,oE,Hal-Dannāt,haaldaannaat,,dannāt,PN,ha-al,,,"<qt><font color=""#690000"">ha</font>-al.<font color=""#9b0000"">da</font>-<font color=""#c30000"">an</font>-na-<font color=""#690000"">at</font></qt>",man,
v.ha-ak-qa-man-nu-ši-ya,achE,Achæmenid,haakqamannus~iya,1,haxāmaniya,PN,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">ha</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">man</font>-nu-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font></qt>",man,
ha-ak-qa-man-nu-ši-ya,achE,Achæmenid,haakqamannus~iya,1,haxāmaniya,PN,,,,,,
