transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
a-a-a-a,oE,ai-ai,aaaa,1,,PN (hypo),,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#690000"">a</font></qt>",man,
a-ad-da,oE,,aadda,2,,PN (hypo),,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font></qt>",man,
ab-ba-ab-ba,oE,abba,abbaabba,4,,PN (hypo),ab-ba,,,"<qt><font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font></qt>",,
a-ap-tu-ù,oE,aapti-u,aaptuu,1,,PN (hypo),,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ap</font>-tu-ù</qt>",man,
f.a-a-nu-nu,nE,house-RED,aanunu,1,,PN (hypo),,,,"<qt><font color=""#e10000"">f</font>.<font color=""#690000"">a</font>-<font color=""#690000"">a</font>-nu-nu</qt>",woman,
a-an-tu-ù-a,oE,,aantuua,1,,PN (hypo),"a-at-tu-ù-a, at-tu-ú-a",,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">an</font>-tu-ù-<font color=""#690000"">a</font></qt>",man,
a-aš-tu-tu,oE,AŠtutu,aas~tutu,1,,PN (hypo),"ha-aš-du-du, ha-aš-tu-tu",,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">aš</font>-tu-tu</qt>",man,
a-bu-bu,oE,abu-RED,abubu,4,abu,PN (hypo),,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">bu</font>-<font color=""#9b0000"">bu</font></qt>",man,
a-da-ra-ú?,,adara-u,adarau,1,,PN (hypo),a-da-ra+u,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ra</font>-<font color=""#9b0000"">ú</font></qt>",woman,
a-da-ru-ru,oE,atar,adaruru,12,,PN (hypo),,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">da</font>-<font color=""#b40000"">ru</font>-<font color=""#b40000"">ru</font></qt>",man,
a-ga-ga,oE,aka-RED,agaga,1,,PN (hypo),ag-ga-ga,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ga</font>-<font color=""#9b0000"">ga</font></qt>",man,
f.a-nu-nu,achE,,anunu,1,,PN (hypo),f.a-a-nu-nu,,,"<qt><font color=""#e10000"">f</font>.<font color=""#690000"">a</font>-nu-nu</qt>",woman,
f.bar-ri-ri,nE,barru-RED,barriri,2,,PN (hypo),"pa-ar, hw.bar-ru",,,"<qt><font color=""#e10000"">f</font>.<font color=""#de0000"">bar</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ri</font></qt>",woman,
pi-el-lu-lu,oE,Pilulu,biellulu,1,,PN (hypo),,,,"<qt><font color=""#de0000"">pi</font>-<font color=""#9b0000"">el</font>-<font color=""#690000"">lu</font>-<font color=""#690000"">lu</font></qt>",man,
pi-il-lu-lu,oE,Pilulu,biillulu,1,,PN (hypo),"pi-li-li, pi-el-lu-lu",,,"<qt><font color=""#de0000"">pi</font>-<font color=""#690000"">il</font>-<font color=""#690000"">lu</font>-<font color=""#690000"">lu</font></qt>",man,
pi-ir-ri-ri,oE,piri-RED,biirriri,1,,PN (hypo),pi-ri-ri,,,"<qt><font color=""#de0000"">pi</font>-ir-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ri</font></qt>",,
pi-li-li,oE,Pilili,bilili,2,,PN (hypo),,,,"<qt><font color=""#de0000"">pi</font>-li-li</qt>",man,
v.i-gi-u,nE,,igiu,1,,PN (hypo),i-gi,,,"<qt><font color=""#690000"">v</font>.<font color=""#9b0000"">i</font>-<font color=""#9b0000"">gi</font>-<font color=""#9b0000"">u</font></qt>",man,-u
i-gu-u,oE,,iguu,1,,PN (hypo),i-gi,,,"<qt><font color=""#9b0000"">i</font>-<font color=""#690000"">gu</font>-<font color=""#9b0000"">u</font></qt>",man,-u
tan-nu-nu,nE,,dannunu,1,,PN (hypo),,,,"<qt><font color=""#c30000"">tan</font>-nu-nu</qt>",man,
te-ip-[ti.ù]-ú,oE,Tempt-u,deiptiuu,1,,PN (hypo),te-im-ti,,,"<qt>te-<font color=""#690000"">ip</font>-<font color=""#690000"">ti</font>.ù-<font color=""#9b0000"">ú</font></qt>",man,
la-te-te,oE,late-RED,latete,1,,PN (hypo),,Sg.,3rd Anim.,<qt>la-te-te</qt>,man,
la-te-ù-ú,oE,late-u,lateuu,1,,PN (hypo),,,,"<qt>la-te-ù-<font color=""#9b0000"">ú</font></qt>",man,-u
ku-ne-ru,achE,kuni-SG-u,guneru,1,,PN (hypo),,,,"<qt><font color=""#d50000"">ku</font>-<font color=""#d50000"">ne</font>-<font color=""#b40000"">ru</font></qt>",man,-u
f.ku-ne-ù,oE,Kuneu,guneu,1,,PN (hypo),,,,"<qt><font color=""#e10000"">f</font>.<font color=""#d50000"">ku</font>-<font color=""#d50000"">ne</font>-ù</qt>",woman,-u
si-ru-ú,oE,sir-u,siruu,1,,PN (hypo),,,,"<qt><font color=""#690000"">si</font>-<font color=""#b40000"">ru</font>-<font color=""#9b0000"">ú</font></qt>",man,-u
ya-ù-ú,oE,ai-u,yauu,1,,PN (hypo),a-ù-ù,,,"<qt><font color=""#9b0000"">ya</font>-ù-<font color=""#9b0000"">ú</font></qt>",man,-u
za-ak-ku-ú,oE,zak-u,zaakkuu,2,,PN (hypo),"za-ak, [z]a?-a-ak-ku-ù",,,"<qt><font color=""#690000"">za</font>-<font color=""#690000"">ak</font>-<font color=""#d50000"">ku</font>-<font color=""#9b0000"">ú</font></qt>",man,-u
zi-i-ù,oE,,ziiu,1,,PN (hypo),,,,"<qt><font color=""#690000"">zi</font>-<font color=""#9b0000"">i</font>-ù</qt>",man,-u
zi-u-u,oE,,ziuu,2,,PN (hypo),,,,"<qt><font color=""#690000"">zi</font>-<font color=""#9b0000"">u</font>-<font color=""#9b0000"">u</font></qt>",man,
