transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
2.f.pa-šab6-be-na,achE,seamstress-PL-GEN,bas~abbena2,,,,,,,,,
2.d.ba-ki-ya-ti-iš-na,achE,Bāgayāδiš-GEN,bakiyatiis~na2,1,,,,,,,,
2.d.ha-ši-ya-ti-iš-na,achE,Āçiyāδiš-GEN,has~iyatiis~na2,,,,,,,,,
2.d.ha-na-ma-ak-kaš-na,achE,ānāmaka-š-GEN,hanamaakkas~na2,,,,,,,,,
2.d.sa-mi-ya-maš-na,achE,ϑvayaxvā-š-GEN,samiyamas~na2,,,,,,,,,
18-um-me,achE,18-'th,1umme,,,,,,,,,
2.18-um-me-ma,achE,18-'th,1ummema2,1,,,,,,,,
2.d.ha-du-kán-nu-iš-na,achE,Ādukaniš-GEN,hadukannuis~na2,,,,,,,,,
2.d.tu-ru-ma-ir-na,achE,ϑūravāhara-GEN,durumairna2,,,,,,,,,
2-um-me,achE,2-'th,umme,,,,,,,,,
3.2-um-me-na,achE,2-'th,ummena3,,,,,,,,,
2.d.mar-qa-šá-na-iš-na,achE,Vrkažana-š-GEN,marqas~anais~na2,,,,,,,,,
19-um-me,achE,19-'th,1umme,,,,,,,,,
3.19-um-me-na,achE,19-'th,1ummena3,,,,,,,,,
hh.na-ni-tin-ik-qa-mar,achE,Nanâ-iddin-at-ABL,nanitinikqamar,,,,,,,,,
hh.na-ni-tin-ik-qa,achE,Nanâ-iddin-at,nanitinikqa,,,,,,,,,
2.hh.na-ni-tin-ik-qa-mar,achE,Nanâ-iddin-at-ABL,nanitinikqamar2,,,,,,,,,
2.h.ra-an-me-sa-na,achE,ranavaiϑa-GEN,raanmesana2,,,,,,,,,
2.UDU.NITÁ.lg-na,achE,sheep-GEN,udunitana2,,,,,,,,,
hh.ak-qa-be,achE,Haxā-PL,akqabe,,,,,,,,,
18-um-me-man,achE,18-'th,1ummeman,,,,,,,,,
4.18-um-me-man-na,achE,18-'th,1ummemanna4,,,,,,,,,
2.d.ITU.lg-na,achE,month-GEN,ituna2,,,,,,,,,
3-ir-ma-ki,achE,3-fraction,irmaki,,,,,,,,,
2-ir-ma-ki,achE,2-fraction,irmaki,,,,,,,,,
6-ir-ma-ki,achE,6-fraction,irmaki,,,,,,,,,
2.mi-ut-na,achE,portion-GEN,miutna2,,,,,,,,,
9-ir-ma-ki,achE,9-fraction,irmaki,,,,,,,,,
am-ma-ha-aš-du-uk-me,oE,Amma-Hašduk-INANIM.AGR,ammahaas~duukme,,,,,,,,,
a-a-ni-ip-me,oE,house-PL-INANIM.AGR,aaniipme,,,,,,,,,
ku-ul-la-ak-ù,oE,pray-PASS.PTCP-1SG,guullaaku,,,,,,,,,
ku-ul-la-ak-ù-me,oE,pray-PASS.PTCP-1SG-INANIM.AGR,guullaakume,,,,,,,,,
v.at-tar-ki-táh-gi,mE,Attarkitah-1SG.AGR,attarkitahgi,,,,,,,,,
v.at-tar-ki-táh-gi-ik,mE,Attarkitah-1SG.AGR-1SG.AGR,attarkitahgiik,,,,,,,,,
da-ak-me,mE,bring-PASS.PTCP-INANIM.AGR,daakme,,,,,,,,,
i-du-ni-h,mE,3SG-give-1SG,idunih,,,,,,,,,
un-ha-ni-iš,,1SG.ACC-love-3SG,unhaniis~,,,,,,,,,
un-ha-h-pu-uš,,1SG.ACC-hear-3SG,unhahpuus~,,,,,,,,,
da-ak-ki-me-ú,,life-1SG,daakkimeu,,,,,,,,,
2.da-ak-ki-me-ú-me,,life-1SG-INANIM.AGR,daakkimeume2,,,,,,,,,
2.f.ri-ša-ap.d.la-me,,Rišap-La-INANIM.AGR,ris~aaplame2,,,,,,,,,
ú-du-ni-h-ši-ni,,1SG-give-3PL-OPT,udunihs~ini,,,,,,,,,
v.d.hu-um-ban-nu-me-na-gi,mE,Humban-numena-1SG.AGR,huumbannumenagi,,,,,,,,,
in-du-ni-h,mE,3SG.ACC-give-1SG,indunih,,,,,,,,,
in-tu4-ni-h,mE,3SG.ACC-give-1SG,intunih,,,,,,,,,
d.pi-ni-gìr-me,mE,Pinengir-INANIM.AGR,binigirme,,,,,,,,,
hu-us-si-ip-me,mE,baked.brick-PL-INANIM.AGR,huussiipme,,,,,,,,,
un-du-ni-h,mE,1SG.ACC-give-1SG,undunih,,,,,,,,,
d.NIN.a-li-me,mE,Bēlet-āli-INANIM.AGR,ninalime,,,,,,,,,
d.ru-hu-ra-te-ir-me,mE,Ruhurater-INANIM.AGR,ruhurateirme,,,,,,,,,
d.ša-la-me,mE,Šala-INANIM.AGR,s~alame,,,,,,,,,
ip-il-la-ti-ma,mE,temple.courtyard?-LOC,ipillatima,,,,,,,,,
d.na-zi-it-me,mE,Nazit-INANIM.AGR,naziitme,,,,,,,,,
mi-el-ki.i-la-a-ni-me,mE,Malki-ilāni-INANIM.AGR,mielkiilaanime,,,,,,,,,
v.d.hu-ban-nu-me-na-gi,mE,Humban-numena-1SG.AGR,hubannumenagi,,,,,,,,,
ú-du-ni-h,mE,1SG-give-1SG,udunih,,,,,,,,,
v.un-taš.d.GAL-me,mE,Untaš-Napiriša-INANIM.AGR,untas~galme,,,,,,,,,
ir-ša-ra-ra,mE,3SG-under-3SG.AGR,irs~arara,,,,,,,,,
d.zu-un-ki-ir.ri-ša-ar-ra-me,mE,Sunkir-Rišara-INANIM.AGR,zuunkiirris~aarrame,,,,,,,,,
d.ki-ri-ri-ša-me,mE,Kiririša-INANIM.AGR,giriris~ame,,,,,,,,,
in-hi-h-ni,mE,3SG.ACC-obtain-1SG-OPT,inhihni,,,,,,,,,
ur-tu4-um-pa-an-ra,mE,1SG-grant-ACT.PTCP-3SG.AGR,urtuumpaanra,,,,,,,,,
ir-ša-ri-h,mE,3SG-pour-1SG,irs~arih,,,,,,,,,
un-du-ni-iš-ni,mE,1SG.ACC-give-3SG-OPT,unduniis~ni,,,,,,,,,
ir-si-ya-an-ku-uk,mE,3SG-sanctum,irsiyaankuuk,,,,,,,,,
ir-mu-ur-táh,mE,3SG-establish-1SG,irmuurtah,,,,,,,,,
ap-pu-ki-me,mE,eternal-INANIM.AGR,appukime,,,,,,,,,
ta-ak-me-ú,mE,life-1SG,daakmeu,,,,,,,,,
ta-ak-me-ú-me,mE,life-1SG-INANIM.AGR,daakmeume,,,,,,,,,
si-it-me-ú,mE,happiness-1SG,siitmeu,,,,,,,,,
si-it-me-ú-me,mE,happiness-1SG-INANIM.AGR,siitmeume,,,,,,,,,
d.in-šu-uš-na-ak-me,mE,Inšušinak-INANIM.AGR,ins~uus~naakme,,,,,,,,,
i-ka-táh,mE,3SG-crown-1SG,ikatah,,,,,,,,,
si-ya-a-an-ku-uk-me,mE,sanctuary-INANIM.AGR,siyaaankuukme,,,,,,,,,
me-lu-uk-ma,mE,long-LOC,meluukma,,,,,,,,,
si-ya-an-ku-uk-ma,mE,sanctum-LOC,siyaankuukma,,,,,,,,,
d.ú-pur-ku-ba-ak-me,mE,Upurkubak-INANIM.AGR,upurkubaakme,,,,,,,,,
d.hu-um-ban-nu-me-na-gi,mE,Humban-numena-1SG.AGR,huumbannumenagi,,,,,,,,,
un-ha-ni-h-ši,mE,1SG.ACC-love-3PL,unhanihs~i,,,,,,,,,
ša-am-me-h-ši-ma,mE,direct-3PL-LOC,s~aammehs~ima,,,,,,,,,
v.hal-lu-du-uš.d.in-šu-ši-na-ak-gi,mE,Hallutuš-Inšušinak-1SG.AGR,halluduus~ins~us~inaakgi,,,,,,,,,
v.hal-lu-du-uš.d.in-šu-ši-na-ak-gi-ik,mE,Hallutuš-Inšušinak-1SG.AGR-1SG.AGR,halluduus~ins~us~inaakgiik,,,,,,,,,
in-li-na,mE,3SG.ACC-gift,inlina,,,,,,,,,
h.li-ya-an-ir-ra-me,mE,Liyan-SG-INANIM.AGR,liyaanirrame,,,,,,,,,
ur-táh-ha-an-ra,mE,1SG-help-ACT.PTCP-3SG.AGR,urtahhaanra,,,,,,,,,
i-si-ma,mE,3SG-front-in,isima,,,,,,,,,
ur-tu4-ru-un-ra,mE,1SG-say-ACT.PTCP-3SG.AGR,urturuunra,,,,,,,,,
v.ma-an-iš-du-zu-me,mE,Maništušu-INANIM.AGR,maanis~duzume,,,,,,,,,
ku-ul-la-ak-ú,mE,pray-PASS.PTCP-1SG,guullaaku,,,,,,,,,
ku-ul-la-ak-ú-me,mE,pray-PASS.PTCP-1SG-INANIM.AGR,guullaakume,,,,,,,,,
ú-ša-am-mi-iš,mE,1SG-direct-3SG,us~aammiis~,,,,,,,,,
ú-tu4-uk,mE,1SG-receive-PASS.PTCP,utuuk,,,,,,,,,
ur-ša-am-me-en-ra,mE,1SG-direct-ACT.PTCP-3SG.AGR,urs~aammeenra,,,,,,,,,
h.ul-pu-h-ši-i-gi-ba-la-ap-me-ma,mE,Ulpuhši-Igi-Balapme-LOC,ulpuhs~iigibalaapmema,,,,,,,,,
h.a-a-hi-te-ik-ma,mE,ai-hit-k-LOC,aahiteikma,,,,,,,,,
si-ya-an-ma,mE,temple-LOC,siyaanma,,,,,,,,,
un-táh-ha-an-ta,mE,1SG.ACC-help-2SG,untahhaanta,,,,,,,,,
pu-uk-ri-ir-me-ma,mE,pukrir-INANIM-LOC,buukriirmema,,,,,,,,,
v.šu-ut-ru-uk.d.nah-hu-un-te-gi,mE,Šutruk-Nahhunte-1SG.AGR,s~uutruuknahhuuntegi,,,,,,,,,
v.šu-ut-ru-uk.d.nah-hu-un-te-gi-ik,mE,Šutruk-Nahhunte-1SG.AGR-1SG.AGR,s~uutruuknahhuuntegiik,,,,,,,,,
d.la-ga-ma-al-me,mE,Lagamal-INANIM.AGR,lagamaalme,,,,,,,,,
f.d.nah-hu-un-te-ú-tú-me,mE,Nahhunte-utu-INANIM.AGR,nahhuunteutume,,,,,,,,,
pu-hu-e-ma,mE,child-3SG.POSS-LOC,buhuema,,,,,,,,,
v.šu-ut-ru-uk.d.nah-hu-un-te-ik,mE,Šutruk-Nahhunte-1SG.AGR,s~uutruuknahhuunteik,,,,,,,,,
ta-ak-ki-me-ú,mE,life-1SG,daakkimeu,,,,,,,,,
ta-ak-ki-me-ú-me,mE,life-1SG-INANIM.AGR,daakkimeume,,,,,,,,,
d.la-qa-mar-me,mE,Lagamal-INANIM.AGR,laqamarme,,,,,,,,,
d.in-šu-ši-na-ak-me,mE,Inšušinak-INANIM.AGR,ins~us~inaakme,,,,,,,,,
ak-ti-ya-ma,mE,glazed.brick-ya-LOC,aktiyama,,,,,,,,,
la-an-si-it-im-ma-ma,mE,gold-ya-LOC,laansiitimmama,,,,,,,,,
la-an-si-ti-im-ma-ma,mE,gold-ma-LOC,laansitiimmama,,,,,,,,,
d.iš-ni-ka4-ra-ap-me,mE,Išmekarāb-INANIM.AGR,is~nikaraapme,,,,,,,,,
ta-ak-ki-me-ú-me-ni,mE,life-1SG-INANIM.AGR-GEN,daakkimeumeni,,,,,,,,,
v.šil-hi-na-ha-am-ru.d.la-qa-mar-me,mE,Šilha-na-hamru-Lagamal-INANIM.AGR,s~ilhinahaamrulaqamarme,,,,,,,,,
v.ku-ti-ir.d.hu-ban-me,mE,Kutir-Humban-INANIM.AGR,gutiirhubanme,,,,,,,,,
v.ku-tir.d.hu-ban-me,mE,Kutir-Humban-INANIM.AGR,gutirhubanme,,,,,,,,,
d.ma-an-za-at-me,mE,Manzat-INANIM.AGR,maanzaatme,,,,,,,,,
d.ma-an-za-at-me-ma,mE,Manzat-INANIM.AGR-LOC,maanzaatmema,,,,,,,,,
ta-al-lu-h-ši-ta-ma,mE,write-3SG-da-LOC,daalluhs~itama,,,,,,,,,
d.nah-hu-un-te-ik,mE,Nahhunte-1SG.AGR,nahhuunteik,,,,,,,,,
in-ku-tu-un-ki,mE,3SG.ACC-preserve-ACT.PTCP-1SG.AGR,inkutuunki,,,,,,,,,
ú-du-ni-it-ni,mE,1SG-give-2SG.AGR-OPT,uduniitni,,,,,,,,,
ir-ša-la-h-ši-ni,mE,3SG-šala-3PL-OPT,irs~alahs~ini,,,,,,,,,
ir-ku-uk-tu4,mE,3SG-cloak,irkuuktu4,,,,,,,,,
ir-ša-ra-a-ra,mE,3SG-under-3SG.AGR,irs~araara,,,,,,,,,
šu-tú-e,mE,sister-3SG.POSS,s~utue,,,,,,,,,
ak-ti-in-ni-ma,mE,glazed.brick-ni2-LOC,aktiinnima,,,,,,,,,
la-an-si-ti-in-ni-ma,mE,gold-ni2-LOC,laansitiinnima,,,,,,,,,
ba-ha-ap-pi-ni,mE,good-PL-GEN,bahaappini,,,,,,,,,
su-h-te-ir-ma,mE,altar-LOC,suhteirma,,,,,,,,,
sa-am-mi-me,mE,crown?-INANIM.AGR,saammime,,,,,,,,,
ú-te-en-ti,mE,1SG-lenient-2SG,uteenti,,,,,,,,,
tu4-ru-uk-ú,mE,say-PASS.PTCP-1SG,duruuku,,,,,,,,,
tu4-ru-uk-ú-me,mE,say-PASS.PTCP-1SG-INANIM.AGR,duruukume,,,,,,,,,
un-táh-ha-an-te,mE,1SG.ACC-help-2SG,untahhaante,,,,,,,,,
v.d.li-li-ir-taš-me,mE,Lilirtaš-INANIM.AGR,liliirtas~me,,,,,,,,,
d.ma-za-at-me,mE,Manzat-INANIM.AGR,mazaatme,,,,,,,,,
ha-tam5-ti-ir-me,mE,Elam-SG-INANIM.AGR,hatamtiirme,,,,,,,,,
d.hu-ban-e-lu-me,mE,Humban-elû-INANIM.AGR,hubanelume,,,,,,,,,
ú-te-im-ti,mE,1SG-lord,uteimti,,,,,,,,,
d.pè-el-ti-ya-me,mE,Bēltiya-INANIM.AGR,beeltiyame,,,,,,,,,
i-tu-ur-ma,mE,3SG-for-LOC,ituurma,,,,,,,,,
ti-ik-gi,mE,want-1SG.AGR,diikgi,,,,,,,,,
ti-ik-gi-h,mE,want-1SG.AGR-1SG,diikgih,,,,,,,,,
i-na-at-ti-h,mE,3SG-destroy-1SG,inaattih,,,,,,,,,
d.iš-ni-qa-ra-ap-ni,mE,Išmekarāb-GEN,is~niqaraapni,,,,,,,,,
d.si-mu-ut-ta-ni,mE,Simutta-GEN,simuuttani,,,,,,,,,
d.in-su-uš-na-ak-ni-ma,mE,Inšušinak-INANIM2.AGR-LOC,insuus~naaknima,,,,,,,,,
la-an-si-ti-ya-ma,mE,gold-ya-LOC,laansitiyama,,,,,,,,,
hu-ti-e-ma,mE,path-LOC,hutiema,,,,,,,,,
hi-iš-ú-mi-ni,mE,name-1SG-INANIM.AGR-GEN,hiis~umini,,,,,,,,,
la-an-si-ti-ya-ma-ma,mE,gold-ya-LOC-LOC,laansitiyamama,,,,,,,,,
i-ti-ya-ra,mE,3SG-other2-3SG.AGR,itiyara,,,,,,,,,
in-hal-pu-h,mE,3SG.ACC-smite-1SG,inhalpuh,,,,,,,,,
v.šu-ut-ru-uk.d.nah-hu-un-te-me,mE,Šutruk-Nahhunte-INANIM.AGR,s~uutruuknahhuunteme,,,,,,,,,
v.ku-ti-ir.d.nah-hu-un-te-me,mE,Kutir-Nahhunte-INANIM.AGR,gutiirnahhuunteme,,,,,,,,,
in-tu-ur-na,mE,3SG.ACC-for-GEN?,intuurna,,,,,,,,,
v.ku-ti-ir.d.nah-hu-un-te-ik,mE,Kutir-Nahhunte-1SG.AGR,gutiirnahhuunteik,,,,,,,,,
