transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
a-a-pi-h,oE,aipi-1SG,aapih,1,,verb,,Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">a</font>-<font color=""#de0000"">pi</font>-<font color=""#d50000"">h</font></qt>",,
ri-ša-ak-ki,"oE, mE",large-1SG.AGR,ris~aakki,,,verb,,Sg.,1st,"<qt><font color=""#9b0000"">ri</font>-ša-<font color=""#690000"">ak</font>-<font color=""#690000"">ki</font></qt>",,
ri-ša-ak-qa,"mE, nE",large-1SG.AGR,ris~aakqa,,,verb,,Sg.,1st,"<qt><font color=""#9b0000"">ri</font>-ša-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
ha-be-na,achE,press-na,habena,,,verb,,,,"<qt><font color=""#690000"">ha</font>-<font color=""#de0000"">be</font>-na</qt>",,-na
a-lik,nE,clean-PASS.PTCP,alik,1,,verb,,,,"<qt><font color=""#690000"">a</font>-<font color=""#b40000"">lik</font></qt>",,
al-pu-h-šu-da,mE,alpu-3PL-da,alpuhs~uda,1,,verb,,Sg.,1st,"<qt>al-<font color=""#9b0000"">pu</font>-<font color=""#d50000"">h</font>-<font color=""#9b0000"">šu</font>-<font color=""#9b0000"">da</font></qt>",,
te-el-te-en-ni,nE,succeed-OPT,deelteenni,5,,verb,,,,"<qt>te-<font color=""#9b0000"">el</font>-te-<font color=""#690000"">en</font>-<font color=""#c30000"">ni</font></qt>",,
te-en-gi-h,mE,transport-1SG,deengih,13,,verb,,Sg.,1st,"<qt>te-<font color=""#690000"">en</font>-<font color=""#9b0000"">gi</font>-<font color=""#d50000"">h</font></qt>",,
te-en-gi-h-ši-ta,mE,transport-3PL-da,deengihs~ita,1,,verb,te-en-gi-h,,,"<qt>te-<font color=""#690000"">en</font>-<font color=""#9b0000"">gi</font>-<font color=""#d50000"">h</font>-<font color=""#c30000"">ši</font>-ta</qt>",,
te-la-ni-li,oE,retain-ACT.PTCP-1SG-ni?,delanili,1,,verb,te-la-ak,,,"<qt>te-la-<font color=""#c30000"">ni</font>-li</qt>",,
h.te?-man?-qa-in,achE,,demanqain,1,,verb,,,,,,
[t]e-nu-u[m.d]a-ut-tuk,achE,,denuumdauttuk,,,verb,te-nu-um,,,"<qt>te-nu-<font color=""#690000"">um</font>.<font color=""#9b0000"">da</font>-<font color=""#d50000"">ut</font>-<font color=""#b40000"">tuk</font></qt>",,
an-du-uk-ni,mE,plan-PASS.PTCP-OPT,anduukni,1,,verb,an-tu4-uk-ni,Sg.,1st,"<qt><font color=""#c30000"">an</font>-<font color=""#9b0000"">du</font>-<font color=""#9b0000"">uk</font>-<font color=""#c30000"">ni</font></qt>",,
la-gi-ú-ud-da,achE,la-PASS.PTCP-1PL,lagiuudda,,,verb,,Pl.,1st,"<qt>la-<font color=""#9b0000"">gi</font>-<font color=""#9b0000"">ú</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>",,-k
ha-ne-eš,,love-3SG,hanees~,,,verb,te-im-ti.hi-ša.ha-ne-eš,Sg.,3rd Anim.,"<qt><font color=""#690000"">ha</font>-<font color=""#d50000"">ne</font>-<font color=""#9b0000"">eš</font></qt>",,
ha-ni,achE,love-1SG,hani,,,verb,šu?-ma?-ha-ni,Sg.,1st,"<qt><font color=""#690000"">ha</font>-<font color=""#c30000"">ni</font></qt>",,
ha-ni-en-da,achE,love-2SG,hanienda,,,verb,,Sg.,2nd,"<qt><font color=""#690000"">ha</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">en</font>-<font color=""#9b0000"">da</font></qt>",,
ha-ni-en-qa,mE,love-ACT.PTCP-1SG.AGR,hanienqa,1,,verb,,Sg.,1st,,,
ha-ti-ik,mE,love2?-PASS.PTCP,hatiik,1,,verb,ha-ni-ik,Sg.,3rd Anim.,"<qt><font color=""#690000"">ha</font>-<font color=""#690000"">ti</font>-<font color=""#c30000"">ik</font></qt>",,-k
šil-ha-an-da,nE,strong-2SG,s~ilhaanda,,,verb,,Sg.,2nd,"<qt><font color=""#00ff00"">šil</font>-<font color=""#690000"">ha</font>-<font color=""#c30000"">an</font>-<font color=""#9b0000"">da</font></qt>",,
šil-ha-an-du-ú,nE,strong-2SG.AGR-1SG,s~ilhaanduu,1,,verb,šilhant.u,Sg.,2nd,"<qt><font color=""#00ff00"">šil</font>-<font color=""#690000"">ha</font>-<font color=""#c30000"">an</font>-<font color=""#9b0000"">du</font>-<font color=""#9b0000"">ú</font></qt>",,
2.šil-ha-h,nE,strengthen-1SG,s~ilhah,1,,verb,,Sg.,1st,"<qt><font color=""#00ff00"">šil</font>-<font color=""#690000"">ha</font>-<font color=""#d50000"">h</font></qt>",,
šil-ha-ma-an-ki,nE,strong-DUR-ACT.PTCP-1SG,s~ilhamaanki,1,,verb,,Sg.,1st,"<qt><font color=""#00ff00"">šil</font>-<font color=""#690000"">ha</font>-<font color=""#b40000"">ma</font>-<font color=""#c30000"">an</font>-<font color=""#690000"">ki</font></qt>",,-n-
ku-ti-na,nE,bear-3SG-OPT,gutina,,,verb,,Sg.,3rd Anim.,"<qt><font color=""#d50000"">ku</font>-<font color=""#690000"">ti</font>-na</qt>",,-na
ku?-ti?-man?-ba,achE,bear-DUR-PL,gutimanba,,,verb,,Pl.,3rd Anim.,"<qt><font color=""#d50000"">ku</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">man</font>-<font color=""#9b0000"">ba</font></qt>",,-man
ku-ti-šá,achE,bear-3SG-ša,gutis~a,,,verb,ku-ti-iš-šá,Sg.,3rd Anim.,"<qt><font color=""#d50000"">ku</font>-<font color=""#690000"">ti</font>-<font color=""#c30000"">šá</font></qt>",,-ša
ut-taš,achE,make-3SG,uttas~,,,verb,ú-da-iš,Sg.,3rd Anim.,"<qt><font color=""#d50000"">ut</font>-<font color=""#b40000"">taš</font></qt>",,
ut-taš-da,achE,make-3SG-da,uttas~da,,,verb,hu-ud-da-iš-da,Sg.,3rd Anim.,"<qt><font color=""#d50000"">ut</font>-<font color=""#b40000"">taš</font>-<font color=""#9b0000"">da</font></qt>",,-da
